idx,doi,title,venue,date,openalex_id,has_abstract,abstract,error
1415,10.1287/mnsc.2017.2786,Superreplication of Financial Derivatives via Convex Programming,Management Science,2017-03,https://openalex.org/W3121970615,True,"We give a method based on convex programming to calculate the optimal superreplicating and subreplicating prices and corresponding hedging portfolios of a financial derivative in terms of other financial derivatives in a discrete-time setting. Our method produces a model that matches the superreplicating (or subreplicating) price within an arbitrary precision and is consistent with the other financial derivatives prices. Applications include robust replication in terms of call prices with various strikes and maturities of forward start options, volatility and variance swaps and derivatives, cliquet calls, barrier options, and lookback and Asian options. Numerical examples show that, in some cases, the best superreplicating and/or subreplicating prices are within 10% of the price obtained by a standard model but considerably differ from it in other cases. Our method can incorporate bid-ask spreads, interest rates and dividends, and various limitations to the diffusion model. The supplementary material is available at https://doi.org/10.1287/mnsc.2017.2786. This paper was accepted by Gustavo Manso, finance.",
1416,10.1287/mnsc.2016.2694,Social Risk and the Dimensionality of Intentions,Management Science,2017-03,https://openalex.org/W2337062943,True,"Previous research has documented a behavioral distinction between “social risk,” or risk caused by human factors, and natural risk. In particular, people tend to demand a premium on the probability of a favorable outcome in order to expose themselves to a social source of risk rather than a natural source of risk. Several explanations for what drives this social risk premium have been offered—most prominently, (i)an aversion to a counterparty’s potentially malign intentions and (ii) a more general aversion to ceding control to someone with conflicting interests. We propose that a fundamental determinant of the social risk premium may relate to a counterparty’s capacity to engage in intentional action. We employ a between-subjects experimental design in which we manipulate subjects’ capacity for intentional action. Our design allows us to identify the component of the social risk premium related to an aversion to betrayal, independent of any aversion to ceding control. Furthermore, our results show that intentions are a crucial determinant of the social risk premium. We identify factors that eliminate, and may even change the sign of, the social risk premium. Our results contribute to our understanding of the factors that influence the perception of social risk and have implications for optimal contract design in a wide variety of situations involving social risk. The online appendix is available at https://doi.org/10.1287/mnsc.2016.2694. This paper was accepted by Uri Gneezy, behavioral economics.",
1417,10.1287/mnsc.2016.2681,Investor–Stock Decoupling in Mutual Funds,Management Science,2017-04,https://openalex.org/W3121443641,True,"We investigate whether mutual funds whose investors and stocks are decoupled (i.e., investor location does not coincide with that of the stock holdings) benefit from a natural hedge as they have fewer outflows during market downturns and fewer inflows during upturns. Using a sample of equity mutual funds from 26 countries, we find that funds with higher investor–stock decoupling exhibit higher performance, and this is more pronounced during the 2007–2008 financial crisis. We also find that decoupling allows fund managers to take less risk, be more active, and tilt their portfolios toward smaller and less liquid stocks. The Internet appendix is available at https://doi.org/10.1287/mnsc.2016.2681. This paper was accepted by Wei Jiang, finance.",
1418,10.1287/mnsc.2016.2688,Patent Citations—An Analysis of Quality Differences and Citing Practices in Hybrid Corn,Management Science,2017-04,https://openalex.org/W3122656999,True,"A growing empirical literature uses patent citations as a quality-adjusted measure for innovation, despite concerns about the validity of this measure. This paper links patents with objective measures of improvements in the quality of patented inventions—measured through performance in field trials for hybrid corn—to examine three potential factors that influence citations: (1) improvements in performance, (2) citing practices of patent attorneys, and (3) citing practices of patent examiners. This analysis reveals that citations are robustly correlated with performance, which confirms that citations are a useful quality-adjusted measure for innovation. The citing practices of patent attorneys and examiners, however, also influence citations. Patent attorneys cite early patents, which help establish the patentability of an invention; this practice may inflate citation counts for early patents, particularly for inventions that have only recently become patentable. Attorneys also add self-citations; our analysis indicates that self-citations are an indicator of follow-on invention. By comparison, examiner-added citations are typically unrelated to improvements in performance or follow-on invention. Data and the online appendix are available at https://doi.org/10.1287/mnsc.2016.2688. This paper was accepted by Lee Fleming, entrepreneurship and innovation.",
1419,10.1287/mnsc.2016.2712,Do Stock Returns Really Decrease with Default Risk? New International Evidence,Management Science,2017-04,https://openalex.org/W3121188288,True,"This study constructs a novel data set of bankruptcy filings for a large sample of non-U.S. firms in 14 developed markets and sheds new light on the cross-sectional relation between default risk and stock returns. Using the reduced-form approach of Campbell et al. (2008) to estimate default probabilities, we offer conclusive evidence supporting the existence of a significant positive default risk premium in international markets. This finding is robust to different portfolio weighting schemes, data filters, risk-adjusting approaches, and holding period definitions. Decomposing the default risk measure into its systematic and idiosyncratic components, we find that the former drives this positive relation. We also show that the default risk premium is more pronounced in countries where creditor protection is stronger and shareholder bargaining power is lower. The online appendix is available at https://doi.org/10.1287/mnsc.2016.2712. This paper was accepted by Amit Seru, finance.",
1420,10.1287/mnsc.2017.2726,Unusual News Flow and the Cross Section of Stock Returns,Management Science,2017-05,https://openalex.org/W2742966458,True,"We document that stocks that experience sudden increases in idiosyncratic volatility underperform otherwise similar stocks in the future, and we propose that this phenomenon can be explained by the Miller conjecture [Miller E (1977) Risk, uncertainty, and divergence of opinion. J. Finance 32(4):1151–1168]. We show that volatility shocks can be traced to unusual firm-level news flow, which temporarily increases the level of investor disagreement about the firm value. At the same time, volatility shocks pose a barrier to short selling, preventing pessimistic investors from expressing their views. In the presence of divergent opinions and short-selling constraints, prices initially reflect optimistic views but adjust downward in the future as investors’ opinions converge. The online appendix is available at https://doi.org/10.1287/mnsc.2017.2726. This paper was accepted by Wei Xiong, finance.",
1421,10.1287/mnsc.2017.2733,Portfolio Tax Trading with Carryover Losses,Management Science,2017-05,https://openalex.org/W3121617718,True,"We study portfolio choice with multiple stocks and capital gains taxation, assuming that capital losses can only offset current or future realized capital gains. We show, through backtesting using empirical distributions, that optimal equity holdings over an extended period are significantly lower on average than benchmark holdings suggested in the literature. Using value and growth or small and large portfolios, the backtests show that allocations remain persistently underdiversified. Carryover losses have large economic significance since they can dramatically shrink the no-trade region. Finally, the backtested economic cost of incorrectly modeling capital losses is at least 8% of lifetime wealth. The Internet appendix is available at https://doi.org/10.1287/mnsc.2017.2733. This paper was accepted by Neng Wang, finance.",
1422,10.1287/mnsc.2017.2735,Explaining Momentum and Value Simultaneously,Management Science,2017-05,https://openalex.org/W3125627996,True,"This paper proposes a unified risk-based explanation for momentum profits and the value premium in a neoclassical investment-based model. Winner firms have higher short-term productivity and hence more negative exposures to the price of investment goods than loser firms as a result of greater investment plans. Value firms have lower long-term productivity and higher operating leverage and hence higher sensitivities to neutral productivity shocks than growth firms. The model reproduces the coexistence of momentum profits and the value premium, the failure of the unconditional capital asset pricing model, the predictability of momentum profits by market states, and the long-term reversal of momentum profits. Empirical tests confirm a negative price of risk for the shock to the relative price of investment goods. This paper was accepted by Neng Wang, finance.",
1423,10.1287/mnsc.2016.2648,The Dynamic Spillovers of Entry: An Application to the Generic Drug Industry,Management Science,2017-05,https://openalex.org/W2614550072,True,"This paper examines whether experience from entry in one market can potentially enhance profitability at a future market opportunity for a related product. We formulate and estimate a dynamic game of entry in which forward-looking firms make decisions not just based on present benefits of past entry but also anticipating potential future benefits of current entry. Dynamic spillovers of entry are incorporated through a firm-specific unobservable (to the researcher) cost that depends on past entry decisions. The unobserved costs may also be serially persistent. Thus, the model allows for firm-specific unobserved heterogeneity that evolves based on firm actions. The challenge of estimating a dynamic game with serially correlated unobserved state variables subject to endogenous feedback is overcome by embedding a particle filter-based technique in a nested fixed-point algorithm. Using an application to a stylized model of entry in the generic pharmaceutical industry, we underscore the motivation for the model specification and the methodology developed. Our estimates imply positive spillover effects of entry. Moreover, these spillovers suggest heterogeneity not just across firms but also within firms over time based on their history of entry decisions. Our results illustrate that entry may potentially provide firms with additional strategic advantage in later markets and that entry spillovers may be an important factor to consider in the equilibrium evolution of the generic drug industry. The web appendix is available at https://doi.org/10.1287/mnsc.2016.2648. This paper was accepted by J. Miguel Villas-Boas, marketing.",
1424,10.1287/mnsc.2016.2718,Valuing Thinly Traded Assets,Management Science,2017-05,https://openalex.org/W1495028497,True,"We model illiquidity as a restriction on the stopping rules investors can follow in selling assets, and apply this framework to the valuation of thinly traded investments. We find that discounts for illiquidity can be surprisingly large, approaching 30%–50% in some cases. Immediacy plays a unique role and is valued much more than ongoing liquidity. We show that investors in illiquid enterprises have strong incentives to increase dividends and other cash payouts, thereby introducing potential agency conflicts. We also find that illiquidity and volatility are fundamentally entangled in their effects on asset prices. This aspect may help explain why some assets are viewed as inherently more liquid than others and why liquidity concerns are heightened during financial crises. This paper was accepted by Gustavo Manso, finance.",
1425,10.1287/mnsc.2017.2758,"Communication, Incentives, and the Execution of a Strategic Initiative",Management Science,2017-06,https://openalex.org/W3123507558,True,"Senior leadership has two primary levers to influence a direct report: incentives and communication. Financial incentives are credible and precisely specified but offer limited flexibility. In contrast, communication is flexible but lacks precision, and must be deemed credible to affect a direct report’s actions. We study a setting where senior leadership seeks to add a new initiative to their organization’s portfolio. The initiative’s potential to create value is not initially well understood. Senior leadership eventually obtains more precise information on the initiative’s value and subsequently may communicate this information to their direct report. We analyze senior leadership’s incentive and communication decisions, and ultimately their portfolio decision. We find that senior leadership’s communication only affects a direct report’s actions when a new initiative’s potential to create value is sufficiently uncertain. Additionally, we find instances where an organization may benefit from communication that offers lessspecificity. This paper was accepted by David Hsu, entrepreneurship and innovation.",
1426,10.1287/mnsc.2017.2752,Optimal Marketing Strategies for the Acquisition and Retention of Service Subscribers,Management Science,2017-06,https://openalex.org/W2626647980,True,"In this paper, we propose a diffusion model for a subscription service. The evolution over time of the number of subscribers is governed by a differential equation combining two processes—namely, a customer acquisition process and a customer attrition process. Assuming profit-maximization behavior of the firm, we use dynamic programming to optimize the customer equity and determine optimal customer relationship marketing expenditures. We implement an augmented Kalman filter with continuous state and discrete observations to estimate the model’s parameters using market data of two well-known companies in the telecommunications sector. To the best of our knowledge, this is the first paper to model acquisition and retention efforts in the context of a diffusion model. By doing so, we extend the literature on product diffusion to services—that is, beyond its traditional area of durable (and occasionally nondurable) products. By the same token, we contribute to the literature on customer relationship marketing (CRM), where social interactions have been overlooked. Our analytical and numerical results provide a better understanding of the relationships among the optimal customer equity, the customer lifetime value, the prospect lifetime value, and the optimal acquisition and retention spending. Our model and estimation approach give the tools for assessing empirically the role of CRM spending, social interactions, and other factors in the service subscription dynamics. Our main empirical results are as follows: (i) CRM spending and external incentives have indeed a significant effect on acquisition and retention processes; (ii) the impact of CRM is market specific; (iii) compared with optimal levels, both firms underinvest in retention; and (iv) whereas we observe increasing spending in acquisition over time, the derived optimal policy recommends a decreasing level of spending over time. This paper was accepted by Eric Anderson, marketing.",
1427,10.1287/mnsc.2017.2753,Competition-Based Dynamic Pricing in Online Retailing: A Methodology Validated with Field Experiments,Management Science,2017-06,https://openalex.org/W3125180115,True,"A retailer following a competition-based dynamic-pricing strategy tracks competitors’ price changes and then must answer the following questions: (i) Should we respond? (ii) If so, to whom? (iii) How much of a response? (iv) And on which products? The answers require unbiased measures of price elasticity as well as accurate estimates of competitor significance and the extent to which consumers compare prices across retailers. There are two key challenges to quantify these factors empirically: first, the endogeneity associated with almost any type of observational data, where prices are correlated with demand shocks observable to pricing managers but not to researchers, and second, the absence of competitor sales information, which prevents efficient estimation of a full consumer-choice model. We address the first issue by conducting a field experiment with randomized prices. We resolve the second issue by exploiting the retailer’s own and competitors’ stockouts as a source of variation to the consumer choice set, in addition to variations in competitors’ prices. We estimate an empirical model capturing consumer choices among substitutable products from multiple retailers. Based on the estimates, we propose and test a best-response pricing strategy through a carefully controlled live experiment that lasts five weeks. The experiment documents an 11% revenue increase while maintaining a margin above a retailer-specified target. The e-companion is available at https://doi.org/10.1287/mnsc.2017.2753. This paper was accepted by Gad Allon, operations management.",
1428,10.1287/mnsc.2017.2765,A Reinterpretation of the Optimal Demand for Risky Assets in Fund Separation Theorems,Management Science,2017-06,https://openalex.org/W2730151594,True,"In a continuous-time portfolio selection model with N risky assets and K state variables driving their risk and return parameters, we derive simple expressions for the allocation to each asset in the K + 1 risky funds of the (K + 2)-fund separation theorem. We show that the allocation to any given risky asset in each fund can be written in terms of the parameters of a regression of the excess returns of this asset on those of the N − 1 remaining assets. We also use these parameters to provide quantitative measures of the increase in Sharpe ratio of the speculative demand, or in the maximum correlation of each hedging demand with respect to the corresponding risk factor, associated with the introduction of a new asset in the investment universe. Finally, we show that in a multiperiod setting, an asset is “spanned” by others if and only if it improves neither the maximum Sharpe ratio of the speculative demand nor the maximum correlations of the hedging demands with the risk factors. This paper was accepted by Lauren Cohen, finance.",
1429,10.1287/mnsc.2017.2769,Should Intangible Investments Be Reported Separately or Commingled with Operating Expenses? New Evidence,Management Science,2017-06,https://openalex.org/W3124927941,True,"We propose a new method to estimate intangible investment outlays, other than expenditures on advertising and research and development, that are reported on a commingled basis with operating expenses in the selling, general, and administrative category of expenses. These outlays, aimed at improving organizational knowledge and capabilities, are the largest category of intangible investments and the fastest-growing category of operating investments. They affect future firm performance and risk. Predictability of future earnings and stock returns improves when these outlays are distinguished from operating expenses. Thus, benefits could accrue from reporting them separately. The SAS program to divide MainSG&amp;A into investment and consumption portions is available at https://doi.org/10.1287/mnsc.2017.2769. This paper was accepted by Suraj Srinivasan, accounting.",
1430,10.1287/mnsc.2017.2789,Understanding Team Knowledge Production: The Interrelated Roles of Technology and Expertise,Management Science,2017-07,https://openalex.org/W2578906640,True,"Teamwork is an increasingly important aspect of knowledge production. In particular, factors influencing team formation relative to the composition of expertise are crucial for both organizational performance and for informing policy. In this paper, I draw attention to technology access as a highly influential factor impacting expertise in team formation. I examine the hack of Microsoft Kinect as an exogenous event that suddenly reduced motion-sensing technology costs. I show that great reductions in technology costs substitute for ex ante optimal involvement of area specialists and facilitate involvement of outside-area specialists through collaboration with researchers with broader knowledge—generalists. In other words, technology costs influence the composition of expertise in teamwork, with sufficiently large reductions leading to knowledge creation that combines more broadly across knowledge areas. These findings have important implications for organizations and policy makers in crafting incentives for more diverse knowledge creation through strategic investments that lower technology costs and influence team formation. Data are available at https://doi.org/10.1287/mnsc.2017.2789. This paper was accepted by Lee Fleming, entrepreneurship and innovation.",
1431,10.1287/mnsc.2017.2806,"Investor Overconfidence, Firm Valuation, and Corporate Decisions",Management Science,2017-08,https://openalex.org/W2748574013,True,"Behavioral theory predicts that investor overconfidence leads to overpricing because overconfident investors overestimate the quality of their information and underestimate risk. We test this prediction by using a measure of investor overconfidence derived from the characteristics and holdings of U.S. equity mutual fund managers. We find that firms with more overconfident investors are relatively overvalued based on the market-to-book ratio and a misvaluation measure. The result is stronger among stocks with greater mutual fund ownership, particularly by active mutual funds. Firms with more overconfident investors also exhibit lower subsequent stock returns, issue more equity, and invest more. Overall, our findings suggest that investor overconfidence is significantly related to firm valuation and corporate decisions. The Internet appendix is available at https://doi.org/10.1287/mnsc.2017.2806. This paper was accepted by Neng Wang, finance.",
1432,10.1287/mnsc.2017.2812,The Foreign Investor Bias and Its Linguistic Origins,Management Science,2017-08,https://openalex.org/W3125026700,True,"We study how misaligned language between the investor and the firm contributes to the underweighting of foreign securities in an international portfolio. In particular, we document a significant U.S. institutional investor bias against firms located in Quebec relative to firms located in the rest of Canada (ROC). The differential bias is surprising given that (i) Quebec and the other Canadian provinces share the same nationality, federal law, stock exchange, and accounting standards; (ii) their regulatory filings are prepared in English and French; and (iii) U.S. institutional investors are sophisticated and located close to Quebec and the ROC. We also examine Quebec firms with different levels of French versus English online presences as well as those with CEOs who have U.S. work experience or board members or financial analysts who reside in the United States. We find that each factor affects the relative underweighting of investment in Quebec versus the ROC. Finally, we contrast the holdings of institutional investors located in the United Kingdom and France to bolster our conclusion that incongruent languages contribute to the underweighting of Quebec firms relative to firms in the ROC. This paper was accepted by Suraj Srinivasan, accounting.",
1433,10.1287/mnsc.2017.2805,Designing Incentive Systems for Truthful Forecast Information Sharing Within a Firm,Management Science,2017-08,https://openalex.org/W2750919753,True,"We consider a firm where the sales division (Sales) is responsible for demand forecasting and the operations division (Operations) is responsible for ordering. Sales has better information about the demand than Operations and sends a nonbinding demand forecast to Operations. To incentivize truthful information sharing, we include a forecast error penalty in the incentive system of Sales. Besides monetary payoffs, we also add behavioral factors to the utility function of Sales. We model the setting as a signaling game and derive the Pareto-dominant separating equilibria of the game. In laboratory experiments, we observe human behavior that is in line with the predictions of the behavioral model but deviates substantially from expected-payoff-maximizing behavior. We use the behavioral model to design incentive systems for truthful information sharing and validate the approach in an experiment with out-of-sample treatments and out-of-sample subjects. We conduct additional experiments to provide further robustness to the results. The experimental data and e-companion are available at https://doi.org/10.1287/mnsc.2017.2805. This paper was accepted by Martin Lariviere, operations management.",
1434,10.1287/mnsc.2017.2817,Can Trustworthiness in a Supply Chain Be Signaled?,Management Science,2017-09,https://openalex.org/W3125837393,True,"The relationship between a buyer and its suppliers often relies on factors beyond the terms of a contractual agreement. Buyers can therefore benefit from identifying trustworthy suppliers. We argue that precontractual actions by a supplier, for example making costly buyer-specific investments without a long-term contract, can signal a supplier’s trustworthiness. We develop a theoretical model to reflect supplier trustworthiness, and determine when a buyer can benefit from identifying trustworthy suppliers. We show that costly relationship-specific investments can serve as a signal of trustworthiness, and that supply chain profits increase when trustworthy suppliers are able to identify themselves in this fashion. We demonstrate the importance of the signaling mechanism using laboratory experiments. The experimental results show that relationship-specific investments lead to more collaborative transactions, with buyers offering higher prices and suppliers returning higher-quality products. This results in increased profits for both buyers and suppliers. Additionally, we design a treatment which shuts down the signaling mechanism and show that the benefits of the buyer-specific investment are no longer present in this case. Finally, we show that the benefits of buyer-specific investments for both suppliers and buyers are strengthened when firms interact repeatedly. Data and the online appendix are available at https://doi.org/10.1287/mnsc.2017.2817. This paper was accepted by Yossi Aviv, operations management.",
1435,10.1287/mnsc.2017.2825,Empirical Investigation of an Equity Pairs Trading Strategy,Management Science,2017-09,https://openalex.org/W3125740950,True,"We show that an equity pairs trading strategy generates large and significant abnormal returns. We find that two components of the trading signal (i.e., short-term reversal and pairs momentum) have different dynamic and cross-sectional properties. The pairs momentum is largely explained by the one-month version of the industry momentum. Therefore, the pairs trading profits are largely explained by the short-term reversal and a version of the industry momentum. The online appendix is available at https://doi.org/10.1287/mnsc.2017.2825. This paper was accepted by Lauren Cohen, finance.",
1436,10.1287/mnsc.2017.2836,The Bull of Wall Street: Experimental Analysis of Testosterone and Asset Trading,Management Science,2017-09,https://openalex.org/W2563542046,True,"Growing evidence shows that biological factors affect individual financial decisions that could be reflected in financial markets. Testosterone, a chemical messenger especially influential in male physiology, has been shown to affect economic decision making and is taken as a performance enhancer among some financial professionals. This is the first experimental study to test how testosterone causally affects trading and prices. We exogenously elevated testosterone in male traders and tested testosterone’s effect both on their trading behavior in experimental asset markets and on the size and duration of asset price bubbles. Using both aggregated and individual trading data, we find that testosterone administration generated larger and longer-lasting bubbles by causing high bids and the slow incorporation of the asset’s fundamental value. The e-companion is available at https://doi.org/10.1287/mnsc.2017.2836. This paper was accepted by Uri Gneezy, behavioral economics.",
1437,10.1287/mnsc.2017.2830,"Maxing Out Globally: Individualism, Investor Attention, and the Cross Section of Expected Stock Returns",Management Science,2017-09,https://openalex.org/W2758149716,True,"We examine the role of cultural difference in the pricing of positive extreme returns (MAX) for 47,000 stocks from 42 countries from 1990 to 2012. We find that investors overpay for stocks with high MAX and that MAX-premium, the spread from long-short strategy based on low- and high-MAX stocks, is both statistically and economically significant worldwide. The negative relation between idiosyncratic volatility and expected returns, or idiosyncratic volatility puzzle, exists only for stocks with high MAX, implying that the puzzle may arise from the overpayment for stocks with high MAX and the subsequent return reversal. Consistent with the expectation that overpayment will be stronger for overconfident investors, the MAX-premium is larger in countries with high individualism index (IDV) than it is in countries with low IDV. Furthermore, we find the MAX-premium to be larger and the difference in the MAX-premium between high- and low-IDV countries to be more pronounced when VIX and volatility are high. Our findings suggest that the attention-grabbing feature of stocks with high MAX affects the pricing of extreme positive returns asymmetrically depending on the cultural differences across countries. This paper was accepted by Lauren Cohen, finance.",
1438,10.1287/mnsc.2017.2838,Post-Earnings-Announcement Drift and the Return Predictability of Earnings Levels: One Effect or Two?,Management Science,2017-10,https://openalex.org/W2761637293,True,"This paper examines whether earnings levels predict future returns distinct from earnings changes. I find that the predictive ability of earnings levels is subsumed by and is not incremental to the predictive ability of earnings changes. Specifically, I find that trading strategies based on net income, operating profitability, and gross profitability do not earn significant abnormal returns after controlling for earnings changes. My evidence suggests that these anomalies are an artifact of post-earnings-announcement drift and the failure to properly control for earnings changes. Data are available at https://doi.org/10.1287/mnsc.2017.2838. This paper was accepted by Mary Barth, accounting.",
1439,10.1287/mnsc.2017.2843,Ex-Day Returns of Stock Distributions: An Anchoring Explanation,Management Science,2017-10,https://openalex.org/W3123758159,True,"We offer a new anchoring explanation for the ex-day abnormal returns of stock distributions, including stock dividend distributions, splits, and reverse splits. We propose that investors tend to anchor on cum-day prices in valuating ex-distribution stocks, resulting in a positive association between ex-day returns and adjustment factors. We find that this positive return-factor relation exists for all three types of stock distributions and in both the pre- and post-decimalization periods. Furthermore, we find that this positive return-factor relation is more pronounced among events that are more subject to investors’ anchoring propensity, featured by less investor attention, greater arbitrage difficulty, greater valuation uncertainty, less investor sophistication, and higher market sentiment. Last, using brokerage account data, we show that stocks that are traded by investors with more investment experience demonstrate a weaker return-factor relation. The online appendix is available at https://doi.org/10.1287/mnsc.2017.2843. This paper was accepted by Lauren Cohen, finance.",
1440,10.1287/mnsc.2017.2848,Order Flow Volatility and Equity Costs of Capital,Management Science,2017-10,https://openalex.org/W3121667408,True,"We propose that the volatility of order flow is a proxy for costs of information asymmetry, as order flow volatility varies positively with parameters that also influence adverse selection costs of trading. Empirically, order flow volatility is significantly higher prior to earnings or merger announcements when information asymmetry is likely to be elevated. Levels of and shocks to order flow volatility are positively and significantly correlated with existing illiquidity proxies, and strongly predict stock returns in the cross section. The impact of order imbalance volatility shocks on stock prices is reflected within one month in large, visible stocks but takes up to four months to be fully reflected in small, “neglected” stocks. The Internet appendix is available at https://doi.org/10.1287/mnsc.2017.2848. This paper was accepted by Gustavo Manso, finance.",
1441,10.1287/mnsc.2017.2865,Dynamic Portfolio Execution,Management Science,2017-10,https://openalex.org/W3121333784,True,"We analyze the optimal execution problem of a portfolio manager trading multiple assets. In addition to the liquidity and risk of each individual asset, we consider cross asset interactions in these two dimensions, which substantially enriches the nature of the problem. Focusing on the market microstructure, we develop a tractable order book model to capture liquidity supply/demand dynamics in a multiasset setting, which allows us to formulate and solve the optimal portfolio execution problem. We find that cross asset risk and liquidity considerations are of critical importance in constructing the optimal execution policy. We show that even when the goal is to trade a single asset, its optimal execution may involve transitory trades in other assets. In general, optimally managing the risk of the portfolio during the execution process affects the time synchronization of trading in different assets. Moreover, links in the liquidity across assets lead to complex patterns in the optimal execution policy. In particular, we highlight cases where aggregate costs can be reduced by temporarily “overshooting” one’s target portfolio. This paper was accepted by Jerome Detemple, finance.",
1442,10.1287/mnsc.2017.2840,Understanding the Sources of Risk Underlying the Cross Section of Commodity Returns,Management Science,2017-10,https://openalex.org/W3125451843,True,"We show that a model featuring an average commodity factor, a carry factor, and a momentum factor is capable of describing the cross-sectional variation of commodity returns. More parsimonious one- and two-factor models that feature only the average and/or carry factors are rejected. To provide an economic interpretation, we show that innovations in global equity volatility can price portfolios formed on carry, while innovations in a commodity-based measure of speculative activity can price portfolios formed on momentum. Finally, we characterize the relation between the factors and the investment opportunity set. Data and the Internet appendix are available at https://doi.org/10.1287/mnsc.2017.2840 This paper was accepted by Neng Wang, finance.",
1443,10.1287/mnsc.2017.2814,"Firm Expansion, Size Spillovers, and Market Dominance in Retail Chain Dynamics",Management Science,2017-11,https://openalex.org/W2189005075,True,"We develop and estimate a dynamic game of strategic firm expansion and contraction decisions to study the role of firm size in future profitability and market dominance. Modeling firm size is important because retail chain dynamics are more richly driven by expansion and contraction than de novo entry or permanent exit. Additionally, anticipated size spillovers may influence the strategies of forward-looking firms, making it difficult to analyze the effects of size without explicitly accounting for these in the expectations and, hence, decisions of firms. Expansion may also be profitable for some firms while detrimental for others. Thus, we explicitly model and allow for heterogeneity in the dynamic link between firm size and profits as well as potential for persistent brand effects through firm-specific unobservable factors. As a methodological contribution, we surmount the hurdle of estimating the model by extending a two-step procedure that circumvents solving the game. The first stage combines semiparametric conditional choice probability estimation with a particle filter to eliminate the serially correlated unobservable components. The second stage uses a forward simulation approach to estimate the payoff parameters. Data on Canadian hamburger chains from their inception in 1970 to 2005 provide evidence of firm-specific heterogeneity in brand effects, size spillovers, and persistence in profitability. This heterogeneous dynamic linkage shows how McDonald’s becomes dominant and other chains falter as they evolve, thus affecting market structure and industry concentration. The online appendix is available at https://doi.org/10.1287/mnsc.2017.2814. This paper was accepted by J. Miguel Villas-Boas, marketing.",
1444,10.1287/mnsc.2017.2849,Discrete Nonlinear Optimization by State-Space Decompositions,Management Science,2017-11,https://openalex.org/W2768937018,True,"This paper investigates a decomposition approach for binary optimization problems with nonlinear objectives and linear constraints. Our methodology relies on the partition of the objective function into separate low-dimensional dynamic programming (DP) models, each of which can be equivalently represented as a shortest-path problem in an underlying state-transition graph. We show that the associated transition graphs can be related by a mixed-integer linear program (MILP) so as to produce exact solutions to the original nonlinear problem. To address DPs with large state spaces, we present a general relaxation mechanism that dynamically aggregates states during the construction of the transition graphs. The resulting MILP provides both lower and upper bounds to the nonlinear function, and it may be embedded in branch-and-bound procedures to find provably optimal solutions. We describe how to specialize our technique for structured objectives (e.g., submodular functions) and consider three problems arising in revenue management, portfolio optimization, and healthcare. Numerical studies indicate that the proposed technique often outperforms state-of-the-art approaches by orders of magnitude in these applications. Data and the online appendix are available at https://doi.org/10.1287/mnsc.2017.2849. This paper was accepted by Yinyu Ye, optimization.",
1445,10.1287/mnsc.2017.2874,Structural Role Complementarity in Entrepreneurial Teams,Management Science,2017-11,https://openalex.org/W2774712948,True,"To refine the understanding of the social network characteristics of entrepreneurial teams, we present a new construct: structural role complementarity. In particular, we examine the variation between team members’ respective abilities to act as network brokers. Based on the cofounding networks of 9,461 entrepreneurs and 2,446 large-scale industrial enterprises over 45 years in Russia’s emerging economy (1869–1913), our findings show that variation among team members’ brokering ability significantly predicts the starting capital raised by their firm. The effect is moderated by the team’s average brokering potential. When both the team’s average and variation in brokering potential is high, firms raise greater starting capital. By using multiple membership models, we demonstrate that greater starting capital is largely attributable to team factors rather than the attributes of the individual team members. We also take advantage of discriminatory laws that were passed in 1887 in an instrumental variable analysis to address potential endogeneity issues. The online appendix is available at https://doi.org/10.1287/mnsc.2017.2874. This paper was accepted by Olav Sorenson, organizations.",
1446,10.1287/mnsc.2017.2872,Dynamic Mechanisms with Martingale Utilities,Management Science,2017-12,https://openalex.org/W2771762129,True,"We study the dynamic mechanism design problem of a seller who repeatedly sells independent items to a buyer with private values. In this setting, the seller could potentially extract the entire buyer surplus by running efficient auctions and charging an upfront participation fee at the beginning of the horizon. In some markets, such as Internet advertising, participation fees are not practical since buyers expect to inspect items before purchasing them. This motivates us to study the design of dynamic mechanisms under successively more stringent requirements that capture the implicit business constraints of these markets. We first consider a periodic individual rationality constraint, which limits the mechanism to charge at most the buyer’s value in each period. While this prevents large upfront participation fees, the seller can still design mechanisms that spread a participation fee across multiple initial auctions. These mechanisms have the unappealing feature that they provide close-to-zero buyer utility in earlier auctions in exchange for higher utility in later auctions. To address this problem, we introduce a martingale utility constraint, which imposes the requirement that from the perspective of the buyer, the next item’s expected utility is equal to the present one’s. Our main result is providing a dynamic auction satisfying martingale utility and periodic individual rationality whose loss in profit with respect to first-best (full extraction of buyer surplus) is optimal up to polylogarithmic factors. The proposed mechanism is a dynamic two-tier auction with a hard floor and a soft floor that allocates the item whenever the buyer’s bid is above the hard floor and charges the minimum of the bid and the soft floor. The electronic companion is available at https://doi.org/10.1287/mnsc.2017.2872. This paper was accepted by Noah Gans, stochastic models and simulation.",
